ID,lat,lon,Reach_ID
FIN1,60.481367,24.656397,1050401
FIN2,60.469907,24.623038,1045801
FIN3,60.457176,24.621249,1045601
FIN4,60.431312,24.532785,1059801
FIN5,60.345149,24.560472,1079601
FIN6,60.336843,24.60056,1091800
FIN7,60.329621,24.636853,1089801
FIN8,60.298508,24.64354,1096400
FIN9,60.329393,24.703003,1033201
FIN10,60.3522,24.69313,1097601
FIN11,60.388047,24.523806,1074801
FIN12,60.363523,24.640857,1069001
FIN13,60.358292,24.627062,1086801
FIN14,60.362754,24.652477,1088401
FIN15,60.356613,24.635035,1088201
FIN16,60.384522,24.558029,1071401
FIN17,60.324942,24.626211,1091001
FIN18,60.354234,24.672479,1097001
FIN19,60.333863,24.6547,1089400
FIN20,60.334312,24.65289,1089201
FIN21,60.355917,24.755862,1034201
