ID,lon,lat,Reach_ID
S1,17.5970839,48.8826383,40332
S2,17.6119325,48.8785744,40336
S3,17.5647842,48.8717817,40302
S4,17.5571758,48.8448989,40272
S5,17.6372847,48.8767797,40344
S6,17.5758242,48.8954097,40308
S7,17.5907853,48.9002622,40314
S8,17.6160894,48.8710903,40366
S9,17.4124022,48.9341150,40138
S10,17.4154922,48.9349325,40146
S11,17.3842500,48.9130228,40126
S12,17.4698767,48.8786758,40424
S13,17.4667439,48.8862992,40412
S14,17.4221603,48.8935581,40396
S15,17.5859733,48.8806336,40374
S16,17.5927864,48.8801750,40372
S17,17.4680100,48.8681792,40422
S18,17.4698008,48.8786372,40414
S19,17.3966525,48.9061686,40236
S20,17.3688381,48.9032561,40234
S21,17.5262219,48.8908244,40264
S22,17.5541597,48.8736058,40298
S23,17.5920031,48.8820447,40326
S24,17.3556094,48.8955894,40432
S25,17.3577014,48.8825211,40440
S26,17.4070539,48.8859464,40464
S27,17.3557439,48.8955997,40432
S28,17.4070539,48.8859464,40464
S29,17.3501267,48.8979769,40432
S30,17.4211503,48.8933711,40396
S31,17.3885883,48.8989011,40240
S32,17.5402994,48.8652011,40294
S33,17.637140,48.8734517,40358
S34,17.5175389,48.8805881,40268
S35,17.5064069,48.9055589,40256
S36,17.4681011,48.8865742,40402
S37,17.4794308,48.8811842,40402
